Block Size,~get~ Cuda Aware,~get~ Non Cuda Aware Pin,~get~ Non Cuda Aware Unpin,~put~ Cuda Aware,~put~ Non Cuda Aware Pin,~put~ Non Cuda Aware Unpin,~memcpy~ Cuda Unaware no Pin,~memcpy~ Cuda Unaware Pin
60,0.008819760,0.006400590,0.005821550,0.000121882,8.4647e-05,8.84523e-05,0.05230260,0.05751960
110,0.008986150,0.006975690,9.79611e-05,0.000172332,0.000128651,0.000133606,0.00073665,0.06252300
160,0.007430600,0.005638880,0.000186552,0.000228365,0.000199584,0.000212011,0.00113956,0.05027890
210,0.004392470,0.003727260,0.000284738,0.000484019,0.000270038,0.000271766,0.00166055,0.03293900
260,0.000280916,0.000243146,0.000401420,0.000406913,0.000362087,0.000379434,0.00230398,0.00122720
310,0.000398779,0.000312842,0.000544922,0.000516200,0.000500150,0.000498365,0.00299590,0.00159499
360,0.000525969,0.000405111,0.000715740,0.000672720,0.000645606,0.000657611,0.00401469,0.00234769
410,0.000657261,0.000491007,0.000893725,0.000826317,0.000807453,0.000811441,0.00491103,0.00267271
460,0.000831227,0.000581687,0.001122320,0.001016900,0.000997658,0.001004630,0.00659032,0.00321117
510,0.001022510,0.000706133,0.001335420,0.001282300,0.001230890,0.001214430,0.00766374,0.00360353
560,0.001234530,0.000827534,0.001639120,0.001457080,0.001450340,0.001441230,0.00922643,0.00478369
610,0.001352650,0.000880747,0.001969230,0.00167545,0.00169884,0.00170946,0.01099940,0.00500057
660,0.001605380,0.001119810,0.002183330,0.00193336,0.00197144,0.00200365,0.01179980,0.00584584
710,0.001700280,0.001242500,0.002613300,0.00222366,0.00227984,0.00229842,0.01375470,0.00656355
760,0.002111080,0.001276930,0.002873610,0.00254251,0.00260749,0.00259091,0.01631810,0.00741160
810,0.002507920,0.001753020,0.003386700,0.00288097,0.00297194,0.00294632,0.01817000,0.00963158
860,0.001728540,0.003143080,0.002985970,0.00319934,0.00340707,0.00335164,0.02112010,0.00951709
910,0.003143080,0.002081290,0.004297590,0.00367927,0.00366874,0.00371039,0.02285360,0.01196890
960,0.003572690,0.002071210,0.004709760,0.00408157,0.00414252,0.00413008,0.02528960,0.01256320
1010,0.003403000,0.002477400,0.005193940,0.00433927,0.00452332,0.00455626,0.02738770,0.01353900
1110,0.004545000,0.003087470,0.006483430,0.00526095,0.00557727,0.00543133,0.03503060,0.01647620
1210,0.005698500,0.003739470,0.007546870,0.00621799,0.00647726,0.0064945,0.03994670,0.02005890
1310,0.005647960,0.004465820,0.008912060,0.00741798,0.00774334,0.00767496,0.04701660,0.02199910
1410,0.007022750,0.005195850,0.010413600,0.00858749,0.00871894,0.00880442,0.05577790,0.02545980
1510,0.008168040,0.006106600,0.012109100,0.00965351,0.010105,0.0101704,0.06504350,0.03029250
1610,0.009139240,0.006965290,0.013824500,0.0112187,0.0114581,0.0115067,0.07385530,0.03419890
1710,0.010064900,0.008220840,0.015586100,0.0123005,0.013061,0.0128642,0.08395550,0.03790220
1810,0.011323500,0.008736950,0.017595600,0.0137817,0.0145846,0.0145813,0.09264240,0.04260200
1910,0.013244700,0.009824760,0.019714500,0.0152543,0.0160786,0.0161025,0.10462300,0.04702120
2010,0.015687100,0.011380000,0.021554900,0.0170972,0.0178121,0.0177789,0.11558000,0.05285370
2510,0.021323000,0.021472100,0.035343700,0.0266408,0.0276911,0.027654,0.37885900,0.08146490
3010,0.032201200,0.034512900,0.050264400,0.0379887,0.0400165,0.0399401,0.54193600,0.11822200
